demand_city_id,serving_warehouse_id,upstream_center_id
IDN-CITY-001,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-002,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-003,WH-CROSS_DOCKING-BEKASI,WH-CENTER-JAKARTA
IDN-CITY-004,WH-CROSS_DOCKING-BANDUNG,WH-CENTER-JAKARTA
IDN-CITY-005,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-006,WH-CROSS_DOCKING-BEKASI,WH-CENTER-JAKARTA
IDN-CITY-007,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-008,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-009,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-010,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-011,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-012,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-013,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-014,WH-CROSS_DOCKING-DEPOK,WH-CENTER-JAKARTA
IDN-CITY-015,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-016,WH-CROSS_DOCKING-SOUTH_TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-017,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-018,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-019,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-020,WH-CROSS_DOCKING-BANDUNG,WH-CENTER-JAKARTA
IDN-CITY-021,WH-CROSS_DOCKING-BANDUNG,WH-CENTER-JAKARTA
IDN-CITY-022,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-023,WH-CROSS_DOCKING-BEKASI,WH-CENTER-JAKARTA
IDN-CITY-024,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-025,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-026,WH-CROSS_DOCKING-BANDUNG,WH-CENTER-JAKARTA
IDN-CITY-027,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-028,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-029,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-030,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-031,WH-CROSS_DOCKING-BANDUNG,WH-CENTER-JAKARTA
IDN-CITY-032,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-033,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-034,WH-CROSS_DOCKING-DEPOK,WH-CENTER-JAKARTA
IDN-CITY-035,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-036,WH-CROSS_DOCKING-BANDUNG,WH-CENTER-JAKARTA
IDN-CITY-037,WH-CROSS_DOCKING-BANDUNG,WH-CENTER-JAKARTA
IDN-CITY-038,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-039,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-040,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-041,WH-CROSS_DOCKING-BANDUNG,WH-CENTER-JAKARTA
IDN-CITY-042,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-043,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-044,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
IDN-CITY-045,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-046,WH-CROSS_DOCKING-BANDUNG,WH-CENTER-JAKARTA
IDN-CITY-047,WH-CROSS_DOCKING-BEKASI,WH-CENTER-JAKARTA
IDN-CITY-048,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-049,WH-CROSS_DOCKING-SEMARANG,WH-CENTER-SURABAYA
IDN-CITY-050,WH-CROSS_DOCKING-TANGERANG,WH-CENTER-JAKARTA
